epochs;LSTMLayers;LSTMDims;ReLULayers;ReLUDims;L2;totalAcc;f1;For;Against;Neutral
70;1;50;2;200;0;0,3833;0,1847;0;0;1
1;1;50;1;50;0,0001;0,3833;0,1847;0;0;1
30;1;50;1;50;0,0001;0,3833;0,1847;0;0;1
50;1;50;1;50;0,0001;0,3833;0,1847;0;0;1
70;1;50;1;50;0,0001;0,3833;0,1847;0;0;1
100;1;50;1;50;0,0001;0,3833;0,1847;0;0;1
1;1;50;2;200;0,0001;0,3833;0,1847;0;0;1
30;1;50;2;200;0,0001;0,3833;0,1847;0;0;1
50;1;50;2;200;0,0001;0,3833;0,1847;0;0;1
70;1;50;2;200;0,0001;0,3833;0,1847;0;0;1
100;1;50;2;200;0,0001;0,3833;0,1847;0;0;1
1;1;50;2;200;0,0003;0,3833;0,1847;0;0;1
30;1;50;2;200;0,0003;0,3833;0,1847;0;0;1
50;1;50;2;200;0,0003;0,3833;0,1847;0;0;1
70;1;50;2;200;0,0003;0,3833;0,1847;0;0;1
100;1;50;2;200;0,0003;0,3833;0,1847;0;0;1
1;1;100;1;50;0;0,3833;0,1847;0;0;1
30;1;100;1;50;0;0,3833;0,1847;0;0;1
50;1;100;1;50;0;0,3833;0,1847;0;0;1
70;1;100;1;50;0;0,3833;0,1847;0;0;1
100;1;100;1;50;0;0,3833;0,1847;0;0;1
1;1;100;1;50;0,0001;0,3833;0,1847;0;0;1
30;1;100;1;50;0,0001;0,3833;0,1847;0;0;1
50;1;100;1;50;0,0001;0,3833;0,1847;0;0;1
70;1;100;1;50;0,0001;0,3833;0,1847;0;0;1
100;1;100;1;50;0,0001;0,3833;0,1847;0;0;1
1;1;100;1;50;0,0003;0,3833;0,1847;0;0;1
30;1;100;1;50;0,0003;0,3833;0,1847;0;0;1
50;1;100;1;50;0,0003;0,3833;0,1847;0;0;1
70;1;100;1;50;0,0003;0,3833;0,1847;0;0;1
100;1;100;1;50;0,0003;0,3833;0,1847;0;0;1
1;1;100;1;100;0;0,3833;0,1847;0;0;1
30;1;100;1;100;0;0,3833;0,1847;0;0;1
50;1;100;1;100;0;0,3833;0,1847;0;0;1
70;1;100;1;100;0;0,3833;0,1847;0;0;1
100;1;100;1;100;0;0,3833;0,1847;0;0;1
1;1;100;1;100;0,0001;0,3833;0,1847;0;0;1
30;1;100;1;100;0,0001;0,3833;0,1847;0;0;1
50;1;100;1;100;0,0001;0,3833;0,1847;0;0;1
70;1;100;1;100;0,0001;0,3833;0,1847;0;0;1
100;1;100;1;100;0,0001;0,3833;0,1847;0;0;1
1;1;100;1;100;0,0003;0,3833;0,1847;0;0;1
30;1;100;1;100;0,0003;0,3833;0,1847;0;0;1
50;1;100;1;100;0,0003;0,3833;0,1847;0;0;1
70;1;100;1;100;0,0003;0,3833;0,1847;0;0;1
100;1;100;1;100;0,0003;0,3833;0,1847;0;0;1
100;1;50;1;200;0,0001;0,3611;0,1776;0;0;0,942
